subject,body,target_value
Scientifically Validated and Authentic COVID19 Information,"is now available through the lab home page!  https://systems-research-lab.gitlab.io/lab-website/index.html
Rely on correct information not rumours for the safety of you and your near and dear ones!
Please assimilate and spread faster than COVID19 to save others!

Thanks Siddarth for making it available at midnight!",0
Final Stretch of Run,"Dear Students,

Many of you are such committed, sincere and hardworking students that I am fortunate to have in HP course so much so that I can not stop telling my colleagues in university and even in IISc, about how proud I feel of you.

We are in the final stretch of run whereby I am planning the final evaluation of a project with a weightage of 25 marks in a week or so and the exact schedule will be intimated. For  this you need at the least ACM journal format detailed report for which template is already shared as well as final ppt and demo (preferably video)

I encourage you to additionally consider contributing an A3 or bigger size poster conveying your project and contribution graphically to any layman.

Many of you have already started reviewing courses, I will be soon scheduling some review sessions as well and it is important to you to do given reading and important programming exercises record your doubt formally in the excel sheet shared in a lesson wise fashion.

I wish you all good luck, health and a great career!

Dr. Rahul",0
Project Proposals Related to COVID19 and Rapidly Communicable Diseases,"
Dr.Rahul Nagpal pesu CSE Staff
Sun, 5 Apr, 01:11 (9 days ago)
to Dr.Rahul, Dr.Rahul, bcc: me

Dear All,

As you know COVID 19 has changed our perspective towards life, death and everything in between. Scientific community at large is looking at ways to detect, manage and cope with this pandemic before any cure is available which does not seem like an immediate possibility.

Projects Proposals are invited in the area of interest of lab as well as beyond related to COVID 19 and rapidly communicable diseases in general. 

Proposals can be related to modeling, managing as well as various coping mechanisms with a purely mathematical and/or simulation based approach to doing interdisciplinary research upto and including drug discovery.

Following page will give you some ideas on some of the ongoing projects  for the purpose of provoking thoughts for building proposals https://covid19.iisc.ac.in/

Best Regards,
======================================================================



Dr. Rahul Nagpal, MS, PhD (IISc., Bangalore)

Professor | Computer Science | PES University

P:    91-080-2672-2449-708  | M:  +919880472190 

E:   rahulnagpal@pes.edu    | S:   nagpal.rahul

A:   02S4, Dept of CSE, PES University BSK III Stage, Bengaluru - 85

======================================================================

Papers  |  https://dblp.org/pers/hd/n/Nagpal:Rahul

Patents |  https://patents.google.com/?inventor=Rahul+Nagpal

",0
Exercises for today session.,"Today's session was a hands- on fun session to do parallel Programming using C++(11) features. You need to extend toys session to complete following exercises using C++11

1. Dining Philosopher Problem
2. Sleeping Barber Problem
3. Reader Writers Problem 
and Of Course correct implementation of Bounder Buffer problem

Additionally check additional features added by C++17 (parallel container operation and vectorized operation) as well as C++20 (smart pointers, transactional memory and task Blocks) and other concurrency features of modern c++.

These are important concepts to learn.",1
Important questions/topics posted on pesu forum,participation will be rewarding!,1
Update Homework and Programming Assignment,"Given SO far, seems like not update for a while
Need to capture all homework/PA given in live sessions by me as well as 
programming exercises in the shared videos/tutorial by me.

consider this as urgent and important and confirm back once done.

Dr. Rahul.",1
Interim Project Review,"Completed thoroughly for all 14 teams and feedback given to each team members in presence of mentors wherever possible.

All are expected to complete/update the project artifacts in mastr sheet and send back additional results/input wherever asked asap and latest by Monday post which marks will be frozen.

Dr. Rahul",1
U5,"As communicated earlier, per my lesson plan I want 4 (2 hour - 80 minute) live session scheduled on 1.05 PM on 3rd and 4th of April followed by 10th and 11th of April.

I will also require at least one additional live session that can be schedule subsequently.

Confirm for planning and arrangement purpose.",1
meeting today,Hey there is a meeting today at 5pm.,0
Lockdown to continue,Please note that lockdown has been extended till May 3.,0
doubt clarification session,All doubts will be clarified during the session.,0
No Vision No Mission,"Teams have not updated their project vision mission statement which need to be completed today along with the link to miro whiteboard (for remote discussions)  with the help of mentors today
Those who have requested machine need to confirm acces to remote machine and if not working need to send their name, srn, email, contact, captive id and expire date of srn for remote access to mr. Siddu and Mr Manjunath from it team copying me and vishwas today.
Please note interim project review for 15 marks for HP course review is being scheduled early next week.",0
No Vision No Mission,No Vision No Mission,0
Skip List Assignment,"Requires Understanding Skip list data structure and implementing

1. Serial Version
2. Lock based parallel Version
3. Lock Free Version with and without Waitfree variations.

Comparing Performance in realistic manner 

Deadline is 24th of March 2020",1
Hardware for Course project,"Please note if you need hardware/machine solely for the purpose of HP course project, you need to send request latest by tomorrow 12:00 Noon for consideration along with justification.
No more Request will be entertained post that. Please request to Vishwas with justification cc me.

@Vishwas to strictly follow the deadline for any requests.",0
ISA1 and ISA2 and assignment,"All the material for ISA1 exam was covered in lectures or assigned homework based on lectures.
It has been observed that given homework and programming exercises are not taken seriously and so far only 3/14 teams have submitted only partial (1, 2) programming exercises out of 3/4 given. Lecture time sometime is used partially for this programming exercises.

It is suggested that every team/individual
1. Complete all the homework and keep a not
2. Complete all programming exercises and submit

In the interest of even better scoring in ISA2 and ESA not to mention in the interest of learning this subject of great industrial importance to the core.

Dr. Rahul",1
Papers for today's presentaion,"@cc: Shalini Sai Prasad @abhiram bellur <bellur.abhiram@gmail.com>

Please share the pdf of the paper presented today

@S Jayasurya 01FB16ECS318PESU CSESTUDENT 

Please send one paper per category for the best tool along with pointer to tools

1. Flow bas",0
Urgent : Details required regarding Compiler Design Laboratory Mini-Project,"Dear Students,

Hope you are doing well and staying safe.

This email intends to collect the CD Lab Mini-Project Team Details and concerns if any. Please click on the link below and provide your team details (SRN and Name of all the team members). Only one member from the team must fill the form : 

https://forms.gle/q9DPTnfU9Q2b4S2H9

Kindly treat this urgent and important and provide the details by today evening 11:00 PM.

Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu",1
Re: Chane in time:Special Topic ISA1 and ISA2 review tomorrow(20-11-19) from 3.00 PM-3.20 PM,"Dear students,

Looks like many of you haven't read the ,mail .Note the change in time:
Special Topic ISA1(CBT1) and ISA2(CBT2) review is scheduled on 20-11-19(i.e tomorrow) .

Note the change in time and venue:
Timing:3.00 PM -3.20 PM
Venue:
For 3rd sem  B-205 C,B-205 D,
For 5th sem    B-209,210

Since there are only 4 labs available ,kindly complete the review quickly and give others a chance to review.
With Regards,
Sangeeta V I
Assistant Professor,
Department of Computer Science & Engineering,
PES University,
Bangalore.
",0
Bharat Padhe Online,"Dear all,
The Hon’ble Minister of Human Resource Development Shri. Ramesh Pokhriyal Nishank, has initiated a campaign “Bharat Padhe Online” inviting suggestions and sharing of ideas from academic fraternity. In this regard I invite you to fill the google form(link given below) with your thoughts on this matter. Please share the ideas on or before 13th Apr 2020 5pm.
https://docs.google.com/forms/d/e/1FAIpQLSfalUT3snBfCF86hAscB8suvpvKn9EDKY5VsJRty8OonaW_sg/viewform?vc=0&c=0&w=1&usp=mail_form_link
Thanks & Rgds
Dr.Shylaja S S
Chairperson(UG&PG Studies),Dept of CSE, PES University,
& Prof & Head of the Dept CS & IS,PESIT,Bangalore",0
Live Sessions,"Dear Students,
Given the current situation in the country, PESU has taken measures to cover the remaining syllabus via live sessions through impartus captured from teachers' homes. I request all of you to make full use of these sessions  and get ready for the tests and exams. Request you to login at the right time. Send any consolidated feedback or questionnaire that you may have. We will schedule separate sessions for answering them.
Stay safe and healthy
Thanks & Rgds
Dr.Shylaja S S
Chairperson(UG&PG Studies),Dept of CSE, PES University,
& Prof & Head of the Dept CS & IS,PESIT,Bangalore
",0
Opening/Opportunity as Campus Ambassadors for Deloitte - The Social Media Strategist,"Dear Students,



Deloitte is launching the ‘The Social Media Strategist’ challenge. Two students from the campus will play the role of Campus Ambassadors for Deloitte - both within campus and on social media sites, to create engagement around the TechnoUtsav 3.0 Competition. This tech-centric competition provides students with an opportunity to showcase their technical, innovative, and analytical acumen.



Interested Students can meet me in First Floor Staff room by today EOD(3:30 PM). The selected students will then have an interaction with the Principal/Registrar : Prof. K S Sridhar in Placement Office.


Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu",0
Regarding GE Health Care project.,"Dear students,

GE healthcare is offering a project on building an application using Google Flatter.
Interested students are hereby informed to email your resume to the following mail id:
cse.pesit@pes.edu


Note: Internal Guide will be Dr.Ananth Koppar.
For any furthur details contact him.",0
Sixth Semester Elective: Consolidated Copy affix signature,"Dear Students,

This mail is regarding the 6th semester Elective courses.
Elective Courses i.e, Elective - 3 and Elective-4 are finalized and strictly changes are not allowed.
Refer Final list sent in the previous email.

Important Note:
1) Hard copy of consolidated Elective Courses student list will be sent to all the sections this week, students should verify the courses opted in Elective-3 and Elective-4 and affix your signature, without fail.
2) If In case of any queries/inappropriate details like SRN,Name etc., you are not supposed to write comment nor sign in that copy, but should meet me in person and get it clarified and then only you are allowed to affix your signature in that hard copy.
3) Also students should check Elective Courses opted by them are also reflected in PESU app without fail, if not then meet Dept PESU Academy Coordinator's.
4) If incase any student is absent for class or lab this week, then individual student should come and affix signature in the hard copy in ground floor discussion room @3.30pm.

FYI,
Affixing signature in the Consolidated copy and reflection of the courses that the student has opted for in the  PESU app is the Confirmation of Elective Courses opted by a student.",0
Byjus webinar,"Byjus has a webinar on placement tomorrow.
",0
ProChancellors address,"Dear Students
Pro-Chancellor Prof D Jawahar will address the students on 27/01/2020 at 2.30pm. ",0
Intel Contest Orientation Registration.,"Dear students,
With reference to my previous email  regarding the  Intel contest,
CIE in collaboration with CS and ECE Department is conducting a Orientation/Contest Kickoff  on Jan 17/Fri at 3.45PM, 12th floor seminar hall ( Venue)  - Intel engineers will provide details on the challenge, technology and answer to your queries (if any).
In this regard,  interested students are hereby informed to register  by filling the form.( please find the link below).

https://forms.gle/dG34tsCTwWKotmca6
For any queries revert back to me.",0
Change in class for Knowledge Management (Prof.RBA and Prof.DK) for today(07-01-20),"Dear students,

Kindly note the change in class room only for students who have registered for knowledge management  under Prof.Raghu B A and Prof.Krupesha D.
Prof.Krupesha D will take the combined class in ground floor seminar hall.
All the students registered under Prof.Raghu B A and Prof.D.Krupesha must assemble in ground floor seminar hall at 1.30 PM today.

 
With Regards,
Sangeeta V I
Assistant Professor,
Department of Computer Science & Engineering,
PES University,
Bangalore.",0
Semester 6: Course Information,"Dear Students,
PFA

Thanks & Regards,
Madhura V
Assistant Professor,
Dept. of CSE,
PES University",0
Regarding CD lab evaluations :,"Dear Teams,

Your Phase 4 review is scheduled with Prof. H B Mahesh Sir. Kindly finish your ISA evaluations by next Friday. I'll be finalizing the marks by the end of next week. 

wishes, 
      Jamuna ",1
Regarding Compiler Design Mini-Project Review,"Dear Students,

This is to bring to your kind notice that the next review will commence from April 6, 2020. The deliverables expected for the review are :
Creation of Symbol Table (with required fields for line no, scope, value, type, storage required)
Validity of Syntax
Evaluation of Expressions and update in symbol table
Error Handling
Abstract Syntax tree generation
Intermediate code generation
Code optimization (Optional right now - if you are ready)
The project will be given a fresh look (which works to your benefit). Please make sure you put up a good show and demonstarte good work.

The evaluation will be done online via Google Hangouts. Meeting invites will be shared by a faculty member who will review your project. Hence it is highly important that you provide the team details at  https://forms.gle/q9DPTnfU9Q2b4S2H9 (ignore if already provided).

I have recieved a few queries related to project implementation, which I will answer by tomorrow EOD. 

Good Luck !

Thanks & Regards,
Preet Kanwal
Assistant Professor,
Dept. of CSE,
PES University, Bangalore.
mailto : preetkanwal@pes.edu",1
[pes1cse2021] CD LAB - Assignment,"Dear Students,
The coming week as part of the project you are expected to complete the following  .
Validate the input  as per Grammar
Update the value and datatype field in the Symbol Table for all identifiers
Best regards,
Kiran P,
Assistant Professor, Dept of CSE
PES University",1
Request to finish the Special Topic Mini Project Reviews within this week :,"Dear All, 

Hope this message finds you all well. Inspite of the recent events most of the Special Topic Mini Project Reviews were carried out Successfully on Skype and Google Hangouts. In this regard I would like to thank everyone for the cooperation. 

Also I would request all the left out teams to finish the reviews within this week and report back to me as soon as possible so that final ESA will be scheduled accordingly. 

I'll keep you all posted for any updates. 

wishes, 
  jamuna

On Mon, 16 Mar, 2020, 11:04 PM Jamuna S Murthy, <jamunasmurthy@pes.edu> wrote:
Dear Students, 

Hope this message finds you well. This is to inform that you can use the facility of Google Hangouts or Skype and finish your Review - 2 presentations for special topic mini project with your guide within next week. 

Kindly try finishing your presentations if possible to stay on track with your project. 

wishes, 
  jamuna 

On Mon, 2 Mar, 2020, 4:10 PM Jamuna S Murthy, <jamunasmurthy@pes.edu> wrote:
Dear Students,

You are hereby informed that Review- 2 for Special Topic Mini - Project is scheduled from 16/03/2020 to 21/03/2020.
In this regard I would request you all to kindly meet your respective guides and panel members, note their free slots and fix up the date and timings for your presentations. 
Students who fail to give their presentations within the required deadline will be penalized. Kindly find the Presentation Template and Panel Members Details for your reference. 


Thanks and Regards,

Jamuna S Murthy M.Tech (SSE)
Assistant Professor 
PES University
Outer Ring Rd, Banashankari 3rd Stage, Banashankari, 
Bengaluru, Karnataka 560085
Ph: +91 8971289042
Email: jamunasmurthy@pes.edu",1
Recommended: Information Visualization,"Ready to learn something new? ... 
Recommendations for you.
We combed our catalog and found courses that we think match your interests. Browse our recommendations below, and start learning something new today!
ARIZONA STATE UNIVERSITY
Final deadline approaching: Master of Computer Science
Apply by April 19 to advance your career with a top-ranked online engineering school.
Get started
Specializations + Courses

Information Visualization
New York University Tandon School of Engineering | Specialization (4 courses)

Applied Machine Learning in Python
University of Michigan

Genomic Data Science
Johns Hopkins University | Specialization (8 courses)

Clinical Data Models and Data Quality Assessments
University of Colorado System

Data Warehousing for Business Intelligence
University of Colorado System | Specialization (5 courses)

Data Engineering, Big Data, and Machine Learning on GCP
Google Cloud | Specialization (5 courses)

Python Data Products for Predictive Analytics
University of California San Diego | Specialization (4 courses)

Introduction to Data Science in Python
University of Michigan

Database systems
Universidad Nacional Autónoma de México | Specialization (4 courses)

Inferential Statistical Analysis with Python
University of Michigan

Applied Text Mining in Python
University of Michigan

The Outcomes and Interventions of Health Informatics
Johns Hopkins University

Identifying Patient Populations
University of Colorado System

Sequence Models
deeplearning.ai

Meaningful Predictive Modeling
University of California San Diego

Design Thinking and Predictive Analytics for Data Products
University of California San Diego

Understanding and Visualizing Data with Python
University of Michigan

Introduction to Clinical Data Science
University of Colorado System

Python Functions, Files, and Dictionaries
University of Michigan

The Data Science of Health Informatics
Johns Hopkins University

Fundamentals of Visualization with Tableau
University of California, Davis

Deploying Machine Learning Models
University of California San Diego

Creating Dashboards and Storytelling with Tableau
University of California, Davis

Analytical Solutions to Common Healthcare Problems
University of California, Davis
See Catalog
iOS        Android
Learner Help Center  |  Privacy Policy  |  Email Settings  |  Unsubscribe

© 2020 Coursera | 381 E. Evelyn Ave, Mountain View, CA 94041 USA",0
Age detection with OpenCV and Deep Learning,"Hi,

In today’s brand-new tutorial, you will learn how to perform automatic age detection/prediction using OpenCV, Deep Learning, and Python:
Image
By the end of this tutorial, you will be able to automatically predict age in static image files and real-time video streams, with reasonably high accuracy.

Click here to see the full tutorial, including source code and pre-trained age detector model.

Adrian Rosebrock
Chief PyImageSearcher

P.S. In the blog post, I show you how to use a pre-trained age detector — if you instead want to learn how to train the age detector from scratch, I would recommend you check out my book, Deep Learning for Computer Vision with Python.

Inside the book you’ll find:
Super-practical walkthroughs that present solutions to actual real-world image classification (ResNet, VGG, etc.), object detection (Faster R-CNN, SSDs, RetinaNet, etc.), and segmentation (Mask R-CNN) problems
Hands-on tutorials (with lots of code) that show you not only the algorithms behind deep learning for computer vision but their implementations as well
A no-nonsense teaching style that is guaranteed to help you master deep learning for image understanding and visual recognition
If you’re interested in learning more about the book, I’d be happy to send you a PDF containing the Table of Contents and a few sample chapters:

Click here to grab the PDF of sample chapters and Table of Contents.

After clicking the above link, you’ll receive a separate email with the PDF in a few short moments.
To make sure you keep getting these emails, please add adrian@pyimagesearch.com to your address book or whitelist us. Want out of the loop? Unsubscribe.

Our postal address: PO Box 17598 #17900, Baltimore, MD 21297-1598",0
Node.js Docker workflow | Guillaume Jacquart,"Medium Logo
Stories for Durgaprasadsn

Today’s highlights
Node.js Docker workflow
I’ve been using Docker for approximately a year now, and after some time getting used to I am now a huge fan…
Guillaume JacquartMember only content7 min read
Can you console.log in JSX?
TLDR: You can’t do it
Llorenç Muntaner in JavaScript in Plain EnglishMember only content2 min read
Ethereum DApp With Ethers.js and IPFS Using Angular, Angular Material, and…
This is the first part of our work-in-progress series demonstrating how to build an Escrow Smart Contract…
Alex Yevseyevich in Better ProgrammingMember only content7 min read
How to use HTML5 form validations with React
You’re probably getting tired of reinventing the wheel like me whose always coding a validation check in each…
Sonny Recio in codeburst11 min read
In case you missed it
Cookiecutter Data Science — Organize your Projects — Atom and Jupyter
One thing prevalent in most data science departments is messy notebooks and messy code. There are examples of…
Robert R.F. DeFilippi11 min read
Key to a Healthy Android Project
Integrate static code analysis tools to keep your Android codebase healthy with just a few lines of code.
Robert Konarskis in ProAndroidDev9 min read
11+ JavaScript Features You’ve Probably Never Used
11+ useful JavaScript features you might have missed.
Chidume Nnamdi 🔥💻🎵🎮 in Bits and Pieces12 min read
Based on your reading history
Overscripted Web: a Mozilla Data Analysis Challenge
Help us explore the unseen JavaScript and what this means for the Web
Rosana Ardila in Mozilla Open Innovation3 min read
Dockerize a Node.js app connected to MongoDb
Hello dear coder, welcome to my tech articles series dedicated to Node.js and Docker. Hope you enjoy!
Vladislav Guleaev in ITNEXTMember only content6 min read
Beware the Solidity enums
Imagine you are writing a Solidity smart contract and one of its properties can be characterized like type or…
Oleg Kondrakhanov in CoinmonksMember only content4 min read
Best in ProgrammingFollow
Top Programming Languages for AI Engineers in 2020
From several programming languages, AI engineers and scientists can pick the right one that suits the needs…
Claire D. in Towards Data ScienceMember only content9 min read
Five years of Raspberry Pi Clusters
I’ve been writing about running Docker on Raspberry Pi for 5 years now and things have got a lot easier than…
Alex EllisMember only content7 min read
Best in JavascriptFollow
How to Secure Your API With JSON Web Tokens
A simple way of adding authorization to your Express app
Ferenc Almasi in JavaScript in Plain EnglishMember only content6 min read
11 things you should know about GET vs POST
If you are thinking that GET is to fetch data and POST save data, I have to say that there are a lot more…
Cbernades in JavaScript in Plain EnglishMember only content7 min read
Six things you should know about Objects in JavaScript
Here are some fundamental things you should know about the Object prototype.
GP Lee in JavaScript in Plain EnglishMember only content4 min read
Best in Data ScienceFollow
How to Think About Data in 2019
It is tangible human beings, not abstract “data”, that power the online economy
The EconomistMember only content3 min read
Most read
What Women Don’t Say
Here’s a conversation.
PriyaMember only content6 min read
Paul Moved Into My Apartment Seeking a Fresh Start. Then He Died.
My new roommate was becoming a friend — and then suddenly he didn’t exist anymore I found out that my new…
Stephanie Rice in This Happened to MeMember only content6 min read
Make this email better.
Tailor your topics
Take Medium with you.
Get Medium on the App StoreGet Medium on Google Play
Sent by Medium · P.O. Box 602, San Francisco, CA 94104-0602
Unsubscribe · Switch to the Weekly Digest · Careers · Help center · Privacy policy

",0
Cloud computing class is at 9:00 AM tomorrow,"Thanks & Regards,
Preet Kanwal 
Assistant Professor 
Dept. of CSE
PES UNIVERSITY 
BANGALORE-85
",0
Check PESU academy notifications for updates from PESU,"Dear students,
Please check PESU academy notifications for  updates from PESU. Today Vice-chancellor  has posted a detailed notification which answers all your queries.
Stay Safe
Thanks & Rgds
Dr.Shylaja S S
Chairperson(UG&PG Studies),Dept of CSE, PES University,
& Prof & Head of the Dept CS & IS,PESIT,Bangalore",0
Extension of Assignment deadline ,"Dear All,

Number of you have asked for extension for the assignment deadline as it's taking time for you to figure things out completely. Given that I am not available face to face to help you and can only remotely guide, I have decided to extend the time line to 18th.",1
SOMMA SOPRANO - An Online Music Contest for bands and musicians of PESU,"SOMMA SOPRANO - Online Music Contest

Re-registration invited

Greetings Everyone !!

Due to some technical difficulty we have had to resend the form. Kindly re register yourselves. 

PESU Live Entertainment , 

in collaboration with the Music Club Of PES , brings to you *SOMMA SOPRANO' - An Online Music Competition* -  for bands and musicians of PESU.

Interested students can register either as bands or as solo artists on the link given below!

Steps to register..

1)Choose a category.
2)Record a video of your performance. 
3)Upload a drive link of your performance on the Google form!

Shortlisted videos will be broadcast on Impartus Live. Prizes to be won in each category. The judgements of the referees, nominated by the organisers, is deemed as final and binding. 

The categories include :

1) Instrumental Solo / Group - Western and Classical
2) Rock / Metal
3) Pop
4) Classical - Carnatic
5) Classical - Hindustani
6) Classical - Western
7) Beat Boxing

*All categories other than Instrumental Solo (part of Category 1), need atleast 3 people collaborating on a project, including Instrumental Group !!*

So what are you waiting for?!

Gather your friends, and register at :

https://forms.gle/osSFjk7V9Y8jcjgM7

Deadline for submission of video links: 3 pm, April 13

Thanks
PESU Administration",0
KM Project presentation,"Dear Students,

 Hope you are all safe. Request you to forward me the batch details and also fill out details ,such as:  if it is a case study or a web portal or  some other KM project, indicate against your batches. Also, mention the dates on which you would be presenting to me, send out Hangout invite beforehand. I have sent out the marks split up to one student and have asked him to share it. Please follow the same.

Best Wishes,
Dr Jayashree R,
Professor,
Department of Computer Science and Engineering,
PES University.
Bangalore-560085, Karnataka, India
+91-9845897074",1
"WT-II Lab - Project Evaluation
","Dear Students,

As mentioned earlier, the project evaluations will be scheduled next week (13.04.2020 -  17.04.2020).

I am herewith sending the Evaluator assigned to your project in the attached spreadsheet.

The faculty evaluator may contact you with a specific timeslot, else please send them an email (email ids are mentioned in the spreadsheet) to fix up a schedule for evaluation. The onus/responsibility is on you to get your project evaluated. In all your communications with the faculty evaluator, please mention the section, SRNs and project title.

Those who have not provided the GITHUB link in the Google Form, should send a mail to the evaluator with the link, at least the day before the evaluation, if not earlier.

The GITHUB link should have a PPT (or a PDF of the slides) along with all the code related to the project.

The PPT/PDF should contain the following (total 5 slides):
Title slide (with PES logo, Department name, Subject Code & Title, Project Title, SRNs)
Project Description slide
Technologies used slide (frameworks/languages/libraries etc)
Techniques Implemented slide(mention the two techniques that you have implemented and the corresponding scenarios)
Intelligent Functionality slide (describe the intelligent functionality).
Do let me know if you have any questions.
Thanks and regards,
Vinay Joshi
Assistant Professor, Department of Computer Science and Engineering
PES Institute of Technology
100 Feet Ring Road, Banashankari 3rd Stage, Bangalore 560085
Office: +91-80-2672-2108 / Cell: +91-98867-03973
vinayj@pes.edu / http://www.pes.edu
",1
Validated and Authentic Information about COVID19,"Dear All

Scientifically Validated and Authentic information is now available  in various languages through  https://covid-gyan.in/

Rely on correct information not rumours for the safety of you and your near and dear ones!

Please assimilate and spread faster than COVID19 to save others!

Thanks",0
Fwd: Impartus Video Quick Access- Web Technologies II,"Dear Students,
   I have enclosed here the document containing the quick reference to the impartus videos(with proper audio) of all the topics in every unit. Make use of this while doing the preparation.

Regards,
Aruna S,
PES University,
Bangalore",0
Intend to use Edmodo for the quiz,"This is the recommended tool by PESU.

I Intend to use this for the Quiz. So please accept the invite when you receive it (if not already done).

I will approve the rest of the acceptances in the morning.

Regards,
Phalachandra",1
